"OPE ID","Institution Name","Institution City","Institution State","Institution Type And Control","Total Awards","Total Recipients"
"2541000","ALASKA CAREER COLLEGE","ANCHORAGE","AK","Proprietary 2 Year","1486859","446"
"106100","ALASKA PACIFIC UNIVERSITY","ANCHORAGE","AK","Private 4 Year","374936","107"
"2576900","CHARTER COLLEGE","ANCHORAGE","AK","Proprietary 4 Year","13050074","3763"
"1146200","UNIVERSITY OF ALASKA ANCHORAGE","ANCHORAGE","AK","Public 4 Year","13661038","4105"
"3461300","ILISAGVIK COLLEGE","BARROW","AK","Public 2 Year","92699","28"
"106300","UNIVERSITY OF ALASKA FAIRBANKS","FAIRBANKS","AK","Public 4 Year","6171609","1859"
"884300","ALASKA BIBLE COLLEGE","GLENNALLEN","AK","Private 4 Year","38558","11"
"106500","UNIVERSITY OF ALASKA SOUTHEAST","JUNEAU","AK","Public 4 Year","1706577","512"
"3160300","AVTEC - ALASKA'S INSTITUTE OF TECHNOLOGY","SEWARD","AK","Public 2 Year","317970","70"
"4138600","ALASKA CHRISTIAN COLLEGE","SOLDOTNA","AK","Private 2 Year","358395","91"
"4187200","NEW BEGINNING COLLEGE OF COSMETOLOGY","ALBERTVILLE","AL","Proprietary 2 Year","306249","82"
"100700","CENTRAL ALABAMA COMMUNITY COLLEGE","ALEXANDER CITY","AL","Public 2 Year","4029880","1102"
"898800","LURLEEN B WALLACE COMMUNITY COLLEGE","ANDALUSIA","AL","Public 2 Year","4157322","1136"
"100800","ATHENS STATE UNIVERSITY","ATHENS","AL","Public 4 Year","5195485","1459"
"100900","AUBURN UNIVERSITY","AUBURN","AL","Public 4 Year","14469925","3465"
"106000","FAULKNER STATE COMMUNITY COLLEGE","BAY MINETTE","AL","Public 2 Year","8769225","2426"
"105901","LAWSON STATE COMMUNITY COLLEGE - BESSEME","BESSEMER","AL","Public 2 Year","20423","5"
"2270400","SOUTHEASTERN BIBLE COLLEGE","BIRIMINGHAM","AL","Private 4 Year","373557","102"
"3032500","ALABAMA STATE CLG BARBER STYLING","BIRMINGHAM","AL","Proprietary 2 Year","80395","20"
"101200","BIRMINGHAM SOUTHERN COLLEGE","BIRMINGHAM","AL","Private 4 Year","1101177","259"
"102200","JEFFERSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","10120497","3179"
"105900","LAWSON STATE COMMUNITY COLLEGE","BIRMINGHAM","AL","Public 2 Year","9593462","2700"
"103600","SAMFORD UNIVERSITY","BIRMINGHAM","AL","Private 4 Year","1572195","382"
"105200","UNIVERSITY OF ALABAMA AT BIRMINGHAM","BIRMINGHAM","AL","Public 4 Year","18029281","4448"
"3010600","VIRGINIA COLLEGE","BIRMINGHAM","AL","Proprietary 4 Year","76493637","21558"
"103800","SNEAD STATE COMMUNITY COLLEGE","BOAZ","AL","Public 2 Year","5938226","1567"
"102100","JEFFERSON DAVIS COMMUNITY COLLEGE","BREWTON","AL","Public 2 Year","2656938","724"
"2170600","UNITED STATES SPORTS ACADEMY","DAPHNE","AL","Private 4 Year","269932","99"
"101300","CALHOUN COMMUNITY COLLEGE","DECATUR","AL","Public 2 Year","13687092","4175"
"101800","GEORGE C WALLACE COMMUNITY COLLEGE","DOTHAN","AL","Public 2 Year","10586599","2983"
"101500","ENTERPRISE STATE COMMUNITY COLLEGE","ENTERPRISE","AL","Public 2 Year","3786457","1034"
"569200","REID STATE TECHNICAL COLLEGE","EVERGREEN","AL","Public 2 Year","1138178","363"
"102800","MILES COLLEGE","FAIRFIELD","AL","Private 4 Year","8297140","1784"
"2199700","HERITAGE CHRISTIAN UNIVERSITY","FLORENCE","AL","Private 4 Year","114754","35"
