"PELLID","Institution","City","State","Recipients","Awards"
"1061","Alaska Pacific University","Anchorage","AK","109","197232.92999999999"
"31603","Alaska Vocational Technical Center","Seward","AK","69","133147.98999999999"
"1062","Sheldon Jackson College","Sitka","AK","72","107287"
"11462","University of Alaska - Anchorage","Anchorage","AK","1920","3425148.8300000001"
"1063","University of Alaska at Fairbanks","Fairbanks","AK","1256","2441864"
"1065","University of Alaska at Southeast","Juneau","AK","221","353170"
"1002","Alabama Agricultural & Mechanical University","Normal","AL","2369","5520921.0599999996"
"1034","Alabama Southern Community College","Monroeville","AL","837","1548659.1599999999"
"1005","Alabama State University","Montgomery","AL","3236","7164037.2699999996"
"1008","Athens State University","Athens","AL","854","1514341"
"1009","Auburn University","Auburn","AL","2842","5449457.9800000004"
"8310","Auburn University Montgomergy","Montgomery","AL","1661","3255469.98"
"5704","Bessemer State Technical College","Bessemer","AL","732","1002263"
"5733","Bevill State Community College","Sumiton","AL","1886","3561322.9500000002"
"1012","Birmingham Southern College","Birmingham","AL","196","375648"
"1030","Bishop State Community College","Mobile","AL","2958","5351463.6600000001"
"1013","CALHOUN STATE COMMUNITY COLLEGE","Decatur","AL","2363","3964228.7999999998"
"1007","Central Alabama Community College","Alexander City","AL","836","1169319"
"12182","Chattahoochee Valley Community College","Phenix City","AL","940","1717137"
"10554","Concordia College","Selma","AL","467","996052.56999999995"
"5698","Douglas MacArthur State Technical College","Opp","AL","460","694892"
"1015","Enterprise State Junior College","Enterprise","AL","773","1356083.0700000001"
"1060","FAULKNER STATE COMMUNITY COLLEGE","Bay Minette","AL","1063","1878437.5"
"1003","Faulkner University","Montgomery","AL","1260","2365909.4199999999"
"1017","Gadsden State Community College","Gadsden","AL","1548","2841651"
"1018","George C. Wallace Community College","Dothan","AL","1715","2449372.7400000002"
"7871","George C. Wallace State Community College","Hanceville","AL","1693","3292438.3599999999"
"9980","George Corley Wallace State Community College","Selma","AL","1091","2046110.75"
"5705","Harry M Ayers State Technical College","Anniston","AL","606","929777.43000000005"
"1019","Huntingdon College","Montgomery","AL","165","319393"
"15370","International Bible College","Florence","AL","95","179313"
"5260","J F Drake State Technical College","Huntsville","AL","319","617005.06999999995"
"1020","Jacksonville State University","Jacksonville","AL","2566","5249985.2800000003"
"1021","Jefferson Davis Community College","Brewton","AL","733","1255618"
"1022","Jefferson State Community College","Birmingham","AL","1200","2021977"
"5693","John M. Patterson State Technical College","Montgomery","AL","502","740757"
"1023","Judson College","Marion","AL","115","223404.5"
"1059","Lawson State Community College","Birmingham","AL","1306","2827244"
"8988","Lurleen B. Wallace State Junior College-","Andalusia","AL","352","653900.71999999997"
"1026","Marion Military Institute","Marion","AL","46","95004"
"1028","Miles College","Fairfield","AL","1316","2732787"
"1031","Northeast Alabama Community College","Rainsville","AL","765","1310464"
"5697","Northwest-Shoals Community College","Muscle Shoals","AL","1644","2958581.1400000001"
"1033","Oakwood College","Huntsville","AL","712","1603133.3300000001"
"5692","Reid State Technical College","Evergreen","AL","541","775291"
"1036","Samford University","Birmingham","AL","350","650205"
"5691","Shelton State Community College","Tuscaloosa","AL","1728","3368400.4300000002"
"1038","Snead State Community College","Boaz","AL","629","1145250"
"13857","Southeastern Bible College","Birimingham","AL","87","151940"
"16885","Southern Christian University","Montgomery","AL","59","92437"
"11237","Southern Community College","Tuskegee","AL","61","110565"
"1040","Southern Union State Community College","Wadley","AL","1492","2513289.1499999999"
"1041","Spring Hill College","Mobile","AL","316","615279"
"1044","Stillman College","Tuscaloosa","AL","1141","2652729"
"1046","Talladega College","Talladega","AL","325","839359"
"5734","Trenholm State Technical College","Montgomery","AL","930","1088670"
"1047","Troy State University","Troy","AL","3911","7216478.7999999998"
"1050","Tuskegee University","Tuskegee","AL","1312","2888860.5600000001"
"1051","University of Alabama","Tuscaloosa","AL","3275","6877579.9100000001"
"1052","University of Alabama at Birmingham","Birmingham","AL","2691","5281365"
"1055","University of Alabama at Huntsville","Huntsville","AL","1215","2396953.04"
"1029","University of Mobile","Mobile","AL","981","1931437"
"1004","University of Montevallo","Montevallo","AL","636","1264068.77"
"1016","University of North Alabama","Florence","AL","1597","3188558"
"1057","University of South Alabama","Mobile","AL","2644","4932208.3300000001"
"1024","University of West Alabama","Livingston","AL","790","1703881.3200000001"
"1087","Arkansas Baptist College","Little Rock","AR","115","222813"
"32923","Arkansas Career Training Institute","Hot Springs","AR","91","152137"
"1090","Arkansas State University","Jonesboro","AR","4674","9167101.5299999993"
"1089","Arkansas Tech University","Russellville","AR","1635","3225985.4199999999"
"5249","Arkansas Valley Technical Institute","Ozark","AR","359","630706.75"
"31052","Baptist Medical Center","Little Rock","AR","180","267773"
"11948","Black River Technical College","Pocahontas","AR","471","852853.95999999996"
"1093","Central Baptist College","Conway","AR","122","244517.98000000001"
"12432","Cossatot Technical College","De Queen","AR","323","616292"
"5250","Cotton Boll Technical Institute","Burdette","AR","222","427807"
"1095","Crowley's Ridge College","Paragould","AR","92","157002"
"13583","Crowley's Ridge Technical Institute","Forrest City","AR","150","240047.17999999999"
"7043","Delta Technical Institute","Marked Tree","AR","138","220351"
"12260","East Arkansas Community College","Forrest City","AR","669","1262871.8"
"5319","Foothills Technical Institute","Searcy","AR","154","271623.56"
"14004","Forest Echoes Technical Institute","Crossett","AR","81","89312.050000000003"
"12105","Garland County Community College","Hot Springs","AR","795","1303507.3100000001"
"14043","Great Rivers Vocational Technical School","McGehee","AR","111","177798.88"
"1097","Harding University","Searcy","AR","1242","2528744"
"1098","Henderson State University","Arkadelphia","AR","1367","2759865.5"
"1099","Hendrix College","Conway","AR","231","466109"
"16498","Jefferson School of Nursing","Pine Bluff","AR","48","75082"
"1100","John Brown University","Siloam Springs","AR","354","582805"
"1088","Lyon College","Batesville","AR","146","297868"
"15862","Mid-South Community College","West Memphis","AR","552","954904.23999999999"
"12860","Mississippi County Community College","Blytheville","AR","934","1735804.8999999999"
"12261","North Arkansas College","Harrison","AR","838","1583729"
"30633","Northwest Arkansas Community College","Bentonville","AR","506","762729.58999999997"
"14044","Northwest Technical Institute","Springdale","AR","161","249331"
"1102","Ouachita Baptist University","Arkadelphia","AR","377","719577.04000000004"
"9976","Ouachita Technical College","Malvern","AR","349","559112.17000000004"
"13217","Ozarka College","Melbourne","AR","416","812239.20999999996"
"5245","Petit Jean College","Morrilton","AR","737","1341225"
"1103","Philander Smith College","Little Rock","AR","598","1379935.21"
"1104","Phillips Community College of the University of Arkansas","Helena","AR","954","1893772.1499999999"
"14167","Pulaski Technical College","North Little Rock","AR","1694","3106680.8799999999"
"10848","Quapaw Technical Institute","Hot Springs","AR","113","218092"
"12435","RICH MOUNTAIN COMMUNITY COLLEGE","Mena","AR","317","604660"
"13858","South Arkansas Community College","El Dorado","AR","355","624243.43999999994"
"14893","Southeast Arkansas College","Pine Bluff","AR","729","1341362.75"
"1107","Southern Arkansas University","Magnolia","AR","1136","2423938.04"
"7738","Southern Arkansas University Tech","Camden","AR","271","556879"
"1108","UNIVERSITY OF ARKANSAS","Fayetteville","AR","2936","6057051.4000000004"
"1101","University of Arkansas at Little Rock","Little Rock","AR","2914","5219682.1900000004"
"1085","University of Arkansas at Monticello","Monticello","AR","1107","2375700.6299999999"
"1086","University of Arkansas at Pine Bluff","Pine Bluff","AR","1974","4586183.4500000002"
"14042","UNIVERSITY OF ARKANSAS COMMUNITY COLLEGE AT BATESVILLE","Batesville","AR","510","925433.63"
"5732","University of Arkansas Community College at Hope","Hope","AR","640","1151232"
"1109","University of Arkansas for Medical Sciences","Little Rock","AR","225","481290"
"1092","University of Central Arkansas","Conway","AR","2552","4889420.0199999996"
"1094","University of the Ozarks","Clarksville","AR","215","430732"
"1110","Westark College","Fort Smith","AR","1329","2356565"
"1106","Williams Baptist College","Walnut Ridge","AR","306","629374.92000000004"
"10010","American Samoa Community College","Pago Pago","AS","699","1375079.97"
"15550","American Indian College of the Assemblies of God","Phoenix","AZ","69","141144"
"15681","Arizona Institute of Business and Technology","Phoenix","AZ","1999","3996589"
"1081","Arizona State University","Tempe","AZ","8590","16454435.26"
"1071","Arizona Western College","Yuma","AZ","2239","3750698.0099999998"
"7283","Central Arizona College","Coolidge","AZ","931","1658338.6299999999"
"30722","Chandler-Gilbert Community College","Chandler","AZ","485","715929"
"1072","Cochise College","Douglas","AZ","1834","3230601.8799999999"
"31004","Coconino County Community College","Flagstaff","AZ","523","818845.98999999999"
"8246","Dine College","Tsaile","AZ","1076","2226278"
"1073","Eastern Arizona College","Thatcher","AZ","1030","1871265.01"
"31563","Estrella Mountain Community College","Avondale","AZ","654","951510"
"8303","GateWay Community College","Phoenix","AZ","1239","1794045"
"1076","Glendale Community College","Glendale","AZ","2881","4406217"
"1074","Grand Canyon University","Phoenix","AZ","486","869150"
"33473","International Baptist College","Tempe","AZ","16","25022"
"1077","Mesa Community College","Mesa","AZ","3368","5564342.2999999998"
"11864","Mohave Community College","Kingman","AZ","758","1160536"
"1082","Northern Arizona University","Flagstaff","AZ","4263","8465336"
"11862","Northland Pioneer College","Holbrook","AZ","693","1224533.96"
"26236","Paradise Valley Community College","Phoenix","AZ","880","1367654"
"1078","Phoenix College","Phoenix","AZ","2434","4064839.6000000001"
"34013","Phoenix First Pastors College","Phoenix","AZ","20","28399"
"7266","Pima County Community College","Tucson","AZ","5838","10169162.619999999"
"13659","Prescott Center for Alternative Education","Prescott","AZ","297","540112"
"14483","RIO SALADO COMMUNITY COLLEGE","Tempe","AZ","742","869409.20999999996"
"8304","Scottsdale Community College","Scottsdale","AZ","948","1536324"
"15001","South Mountain Community College","Phoenix","AZ","890","1411194.8100000001"
"7113","Southwestern College","Phoenix","AZ","90","156501"
"1083","University of Arizona (The)","Tucson","AZ","6507","13314602.630000001"
"1079","Yavapai College","Prescott","AZ","1066","1681361.3300000001"
"1111","Allan Hancock College","Santa Maria","CA","1822","3045943"
"14801","American Academy of Dramatic Arts-West","Pasadena","CA","50","107049.98"
"14545","American Conservatory Theatre Foundation","San Francisco","CA","6","13462"
"1232","American River College","Sacramento","CA","3427","6243538.0899999999"
"1113","Antelope Valley College","Lancaster","CA","1847","3180738.0299999998"
"1116","Art Center College of Design","Pasadena","CA","637","1472517.48"
"16517","Art Institute of Southern California","Laguna Beach","CA","105","226457"
"1117","Azusa Pacific University","Azusa","CA","819","1480615.3799999999"
"1118","Bakersfield College","Bakersfield","CA","5093","9073852.7200000007"
"30674","Baldwin Park Adult School","Baldwin Park","CA","107","155755"
"1119","Barstow Community College","Barstow","CA","523","898609"
"1121","Bethany College of the Assemblies of God","Scotts Valley","CA","198","420807.67999999999"
"32663","Bethesda Christian University","Anaheim","CA","28","65054"
"1122","Biola University","La Mirada","CA","611","1076192"
"31286","Business & Technology Training Institute","Sacramento","CA","35","26795"
"6972","Butte College","Oroville","CA","3149","5765908.6500000004"
"1124","Cabrillo College","Aptos","CA","1584","2807212"
"1125","California Baptist University","Riverside","CA","758","1382855.1599999999"
"1127","California College of Arts & Crafts","Oakland","CA","302","605463"
"12154","California Institute of Integral Studies","San Francisco","CA","15","15573"
"1131","California Institute of Technology","Pasadena","CA","139","278497"
"1132","California Institute of the Arts","Valencia","CA","249","511167.47999999998"
"1133","California Lutheran University","Thousand Oaks","CA","379","763961"
"1134","California Maritime Academy","Vallejo","CA","176","408089"
"1143","California Polytechnic State University","San Luis Obispo","CA","3701","7581740.9900000002"
"1144","California State Polytechnic University, Pomona","Pomona","CA","6214","13795087"
"1147","California State University - Fresno","Fresno","CA","6933","15475009"
"1139","California State University - Long Beach","Long Beach","CA","8145","16736519.800000001"
"1140","California State University - Los Angeles","Los Angeles","CA","6745","14797742.43"
"1150","California State University - Sacramento","Sacramento","CA","6791","14006915.67"
"1142","California State University - San Bernardino","San Bernardino","CA","5082","10615316"
"1141","California State University Dominguez Hills","Carson","CA","4012","8093784.4900000002"
"30113","CALIFORNIA STATE UNIVERSITY SAN MARCOS","San Marcos","CA","1853","3461829.9199999999"
"7993","CALIFORNIA STATE UNIVERSITY, BAKERSFIELD","Bakersfield","CA","2338","4875497"
"1146","California State University, Chico","Chico","CA","4913","10742717.380000001"
"1137","California State University, Fullerton","Fullerton","CA","6792","13916097.59"
"1138","California State University, Hayward","Hayward","CA","3024","6305187.5"
"32603","California State University, Monterey Bay","Seaside","CA","942","2034076"
"1153","California State University, Northridge","Northridge","CA","9318","19884383.420000002"
"1157","California State University, Stanislaus","Turlock","CA","2300","4581975.4900000002"
"6973","Canada College","Redwood City","CA","220","388219"
"32043","Career Training Center","Atascadero","CA","6","9754"
"6731","Casa Loma College","Van Nuys","CA","299","614420.65000000002"
"16516","Center for Employment Training","San Jose","CA","1409","2539457.4500000002"
"1161","Cerritos Community College","Norwalk","CA","5252","9374609.6999999993"
"1162","Chabot College","Hayward","CA","2235","3843787.5"
"1163","Chaffey Community College","Rancho Cucamonga","CA","1339","2306942.9100000001"
"1164","Chapman University","Orange","CA","1297","2222947"
"13653","Charles R. Drew University of Medicine and Science","Los Angeles","CA","87","184519"
"12031","Christian Heritage College","El Cajon","CA","226","455433.02000000002"
"1166","Citrus College","Glendora","CA","1654","2802761.04"
"1170","Claremont McKenna College","Claremont","CA","168","355195"
"14919","Cleveland Chiropractic College","Los Angeles","CA","58","110000"
"16330","Clovis Adult Education","Clovis","CA","150","211255"
"13536","Coastline Community College","Fountain Valley","CA","330","544431"
"1177","Cogswell Polytechnical College","Sunnyvale","CA","81","165468"
"9273","Coleman College - La Mesa","La Mesa","CA","654","1150758.75"
"6720","College of Alameda","Alameda","CA","751","1852677.55"
"1178","College of Marin","Kentfield","CA","936","1665653.98"
"1179","College of Notre Dame","Belmont","CA","258","534123"
"1181","College of San Mateo","San Mateo","CA","532","1021152.5"
"8903","College of the Canyons","Santa Clarita","CA","551","1069783"
"1182","College of the Desert","Palm Desert","CA","1795","2990042.75"
"1185","College of the Redwoods","Eureka","CA","2037","3717197.0299999998"
"1186","College of the Sequoias","Visalia","CA","3454","6517475"
"1187","College of the Siskiyous","Weed","CA","659","1240213.1399999999"
"7707","Columbia College","Sonora","CA","444","802366"
"14697","Columbia College-Hollywood","Tarzana","CA","57","121822.39"
"1188","Compton Community College","Compton","CA","1473","2834304"
"13885","Concordia University","Irvine","CA","197","363840.91999999998"
"1190","Contra Costa College","San Pablo","CA","1182","1948367.6599999999"
"7536","Cosumnes River College","Sacramento","CA","1815","3390802.1299999999"
"9272","Crafton Hills College","Yucaipa","CA","954","1554521.0900000001"
"1192","Cuesta College","San Luis Obispo","CA","1373","2492044.1400000001"
"14435","CUYAMACA COLLEGE","El Cajon","CA","871","1618081.6299999999"
"1193","Cypress College","Cypress","CA","2266","4394502.21"
"4480","De Anza Community College","Cupertino","CA","1666","3020973"
"30256","Dell'Arte School of Physical Theatre","Blue Lake","CA","2","3900"
"1191","Diablo Valley College","Pleasant Hill","CA","1028","1732411.8700000001"
"1196","Dominican College of San Rafael","San Rafael","CA","391","768821"
"9158","Don Bosco Technical Institute","Rosemead","CA","28","66426"
"31095","Dongguk  Royal University","Los Angeles","CA","37","65338"
"10229","D-Q University","Davis","CA","60","125157"
"1222","East Los Angeles College","Monterey Park","CA","2770","5570594.6299999999"
"1197","El Camino College District","Torrance","CA","2465","4401150.1699999999"
"34134","ENGLISH CENTER FOR INTERNATIONAL WOMEN","OAKLAND","CA","33","73553.5"
"12452","Evergreen Valley College","San Jose","CA","1462","2662764"
"8597","Feather River Community College","Quincy","CA","227","439323"
"31313","Five Branches Institute","Santa Cruz","CA","13","23573"
"1199","Foothill College","Los Altos Hills","CA","469","858221"
"1307","Fresno City College","Fresno","CA","6277","11361869.02"
"1253","Fresno Pacific University","Fresno","CA","451","887012.5"
"1201","Fullerton College","Fullerton","CA","2098","3975684.2000000002"
"1202","Gavilan College","Gilroy","CA","511","920346"
"15765","Gemological Institute of America","Carlsbad","CA","32","57268"
"1203","Glendale Community College","Glendale","CA","3328","6431055"
"1205","Golden Gate University","San Francisco","CA","154","244628.45999999999"
"1206","Golden West College","Huntington Beach","CA","2093","4480876.6699999999"
"1208","Grossmont College","El Cajon","CA","2629","4723195.9199999999"
"12522","Hacienda La Puente Adult Education","La Puente","CA","231","417405"
"1209","Hartnell Community College","Salinas","CA","1677","2739430.6200000001"
"1171","Harvey Mudd College","Claremont","CA","86","156290"
"14111","Heald College, School of Business","Concord","CA","490","931544"
"15453","Heald College, School of Technology","Martinez","CA","461","876665"
"7234","Heald College, Schools of Business and Technology","San Francisco","CA","1860","3418791.0499999998"
"7477","Heald College, Schools of Business and Technology","Rancho Cordova","CA","732","1469867"
"8093","Heald College, Schools of Business and Technology","Fresno","CA","852","1678908"
"8532","Heald College, Schools of Business and Technology","Hayward","CA","1094","2108061.3700000001"
"25931","Heald College, Schools of Business and Technology","Roseville","CA","589","1008125"
"25932","Heald College, Schools of Business and Technology","Milpitas","CA","761","1357101"
"25933","Heald College, Schools of Business and Technology","Stockton","CA","479","995322.68000000005"
"30340","Heald College, Schools of Business and Technology","Salinas","CA","579","1094867"
"15974","Heald College-Schools of Business and Technology","Santa Rosa","CA","220","384833"
"1183","Holy Names College","Oakland","CA","142","270144.07000000001"
"1252","Hope International University","Fullerton","CA","251","449495.89000000001"
"1149","Humboldt State University","Arcata","CA","2923","6282247.4199999999"
"1212","Humphreys College","Stockton","CA","485","852666.17000000004"
"17061","Hypnosis Motivation Institute","Tarzana","CA","85","133538"
"1214","Imperial Valley College","Imperial","CA","2631","4920723"
"25395","Irvine Valley College","Irvine","CA","986","1960437"
"4484","John F. Kennedy University","Orinda","CA","47","56810"
"9268","Kelsey-Jenney College","San Diego","CA","458","810060.10999999999"
"1215","La Sierra University","Riverside","CA","407","832349.84999999998"
"12907","Lake Tahoe Community College","South Lake Tahoe","CA","178","252193"
"1266","Laney College","Oakland","CA","2072","4336565.7400000002"
"30357","Las Positas College","Livermore","CA","355","520220"
"1217","Lassen College","Susanville","CA","409","818955"
"16029","LIFE Bible College","San Dimas","CA","192","305543"
"15732","Life Chiropractic College West","San Lorenzo","CA","10","12528"
"1218","Loma Linda University","Loma Linda","CA","421","824540"
"1219","LONG BEACH CITY COLLEGE","Long Beach","CA","7210","12248449.82"
"1223","Los Angeles City College","Los Angeles","CA","3396","7301306"
"6165","Los Angeles County College of Nursing and Allied Health -","Los Angeles","CA","61","96704"
"1224","Los Angeles Harbor College","Wilmington","CA","1861","3010733.8599999999"
"12550","LOS ANGELES MISSION COLLEGE","Sylmar","CA","778","1580292"
"17306","Los Angeles Ort Technical Institute","Los Angeles","CA","1412","2891837"
"1226","Los Angeles Pierce College","Woodland Hills","CA","1299","2361169"
"7047","Los Angeles Southwest College","Los Angeles","CA","1334","2464364"
"1227","Los Angeles Trade Technical College","Los Angeles","CA","2495","4849557"
"1228","Los Angeles Valley College","Van Nuys","CA","2130","4200125"
"10340","Los Medanos College","Pittsburg","CA","694","1296028"
"1234","Loyola Marymount University","Los Angeles","CA","1177","2510172.1299999999"
"30749","Martinez Adult School","Martinez","CA","36","59968"
"10474","Marymount College","Rancho Palos Verdes","CA","151","304536.96000000002"
"1220","Master's College and Seminary","Santa Clarita","CA","307","597992"
"11672","Mendocino Community College","Ukiah","CA","706","1253356"
"1236","Menlo College","Atherton","CA","181","354865"
"1237","Merced College","Merced","CA","2631","5194710.3200000003"
"1267","Merritt College","Oakland","CA","666","1313708.0900000001"
"1238","Mills College","Oakland","CA","303","619674"
"1239","MiraCosta College","Oceanside","CA","773","1336563"
"14458","Mission College","Santa Clara","CA","879","1632890"
"1240","Modesto Junior College","Modesto","CA","2942","4925052.79"
"1241","Monterey Institute of International Studies","Monterey","CA","7","17125"
"1242","Monterey Peninsula College","Monterey","CA","696","1223130"
"30624","Mount Diablo Adult Education","Concord","CA","75","152716"
"1243","Mount Saint Mary's College","Los Angeles","CA","795","1682562"
"1245","Mount San Antonio College","Walnut","CA","3045","5768613.54"
"1246","Mt San Jacinto College","San Jacinto","CA","1905","3358768.5"
"1247","Napa Valley College","Napa","CA","564","1039989"
"16968","National Hispanic University","San Jose","CA","90","148824"
"11460","National University - La Jolla","La Jolla","CA","1589","2847706"
"10831","New College of California","San Francisco","CA","127","236107"
"1249","Occidental College","Los Angeles","CA","445","1003524.3"
"4481","Ohlone College","Fremont","CA","703","1155273.5"
"1250","Orange Coast College","Costa Mesa","CA","2653","5396156"
"1251","Otis College of Art and Design","Westchester","CA","302","681942"
"1255","Pacific Oaks College","Pasadena","CA","87","99640"
"31633","Pacific States University","Los Angeles","CA","1","333.32999999999998"
"1258","Pacific Union College","Angwin","CA","501","963624"
"15135","Palmer College of Chiropractic West","San Jose","CA","11","16321.969999999999"
"1259","Palo Verde College","Blythe","CA","236","456444"
"1260","Palomar College","San Marcos","CA","1082","1738358"
"1261","Pasadena City College","Pasadena","CA","3644","6980240.25"
"4490","Patten College","Oakland","CA","214","435802.5"
"1264","Pepperdine University","Malibu","CA","584","1147753"
"1172","Pitzer College","Claremont","CA","255","532046"
"1262","Point Loma Nazarene University","San Diego","CA","572","1112428"
"15017","Pomona Adult School","Pomona","CA","93","110315"
"1173","Pomona College","Claremont","CA","228","490359"
"1308","Reedley College","Reedley","CA","3067","5269355.1699999999"
"1269","Rio Hondo Community College","Whittier","CA","2723","4934150.5199999996"
"1270","Riverside Community College","Riverside","CA","4296","6811553.4800000004"
"1233","Sacramento City College","Sacramento","CA","3397","6407410.54"
"8918","Saddleback College","Mission Viejo","CA","889","1434085.8200000001"
"1299","Saint John's Seminary","Camarillo","CA","38","96940"
"1302","Saint Mary's College of California","Moraga","CA","556","1159338"
"26193","Samra University of Oriental Medicine","Los Angeles","CA","21","31930"
"7012","Samuel Merritt College","Oakland","CA","113","220977"
"1272","San Bernardino Valley College","San Bernardino","CA","3385","6200135.7199999997"
"1273","San Diego City College","San Diego","CA","4329","8030437.0700000003"
"15825","San Diego Community College Continuing Education Centers","San Diego","CA","138","176357"
"1275","San Diego Mesa College","San Diego","CA","2728","5155482.5300000003"
"14172","San Diego Miramar College","San Diego","CA","704","1260368.5700000001"
"1151","San Diego State University","San Diego","CA","8901","18499804.050000001"
"3948","San Francisco Art Institute","San Francisco","CA","214","462387"
"12874","San Francisco Community College System Office","San Francisco","CA","3707","7028332.2000000002"
"1278","San Francisco Conservatory of Music","San Francisco","CA","34","68937.5"
"1154","San Francisco State University","San Francisco","CA","7487","15882721.42"
"16902","SAN JOAQUIN COLLEGE OF LAW","Clovis","CA","23","21368"
"1280","San Joaquin Delta College","Stockton","CA","5443","8822421.5"
"1281","SAN JOSE CHRISTIAN COLLEGE","San Jose","CA","87","130967"
"1282","San Jose City College","San Jose","CA","1456","2440995"
"1155","San Jose State University","San Jose","CA","6633","14007122.09"
"1284","Santa Ana College","Santa Ana","CA","2295","4450787.9100000001"
"1285","Santa Barbara City College","Santa Barbara","CA","1498","2540268.8900000001"
"1326","Santa Clara University","Santa Clara","CA","634","951945.46999999997"
"1286","Santa Monica College","Santa Monica","CA","2788","4798256"
"1287","Santa Rosa Junior College - Santa Rosa","Santa Rosa","CA","1632","3027871"
"1174","Scripps College","Claremont","CA","118","227134"
"16802","SHASTA BIBLE COLLEGE","REDDING","CA","13","16306"
"1289","Shasta College","Redding","CA","2468","4255376.4299999997"
"1290","Sierra College","Rocklin","CA","2327","3392755.3399999999"
"13233","Simi Valley Adult School & Career Institute","Simi Valley","CA","49","96303"
"1291","Simpson College","Redding","CA","499","955994"
"9509","Skills & Business Education Center","Sacramento","CA","785","1155474.5"
"7713","Skyline College","San Bruno","CA","705","1276509"
"1292","Solano Community College","Suisun City","CA","1086","1781583.8"
"1156","Sonoma State University","Rohnert Park","CA","1672","3195775"
"25973","South Baylo University","Anaheim","CA","46","95888"
"33323","Southern California Bible College and Seminary","El Cajon","CA","44","48221"
"1294","Southwestern College","Chula Vista","CA","3464","6877951"
"1305","Stanford University","Stanford","CA","863","1752913"
"1309","Taft College","Taft","CA","259","482671.98999999999"
"14073","The Southern California Institute of Architecture","Los Angeles","CA","54","118921"
"34033","Trinity Life Bible College","Sacramento","CA","18","16852"
"1158","United States International Univ","San Diego","CA","194","397826"
"1313","University of California - Davis","Davis","CA","5670","12436327"
"1317","University of California - San Diego(UCSD)","La Jolla","CA","4608","10398882.220000001"
"1319","University of California - San Francisco","San Francisco","CA","9","24825"
"1321","University of California - Santa Cruz","Santa Cruz","CA","3468","6248304.25"
"1312","University of California (The) - Berkeley","Berkeley","CA","7000","15434301"
"1320","University of California Santa Barbara","Santa Barbara","CA","4353","9514154"
"1314","UNIVERSITY OF CALIFORNIA, IRVINE","Irvine","CA","5406","12403150.02"
"1315","University of California, Los Angeles","Los Angeles","CA","8623","18780526.5"
"1316","University of California, Riverside","Riverside","CA","4489","10109160"
"2741","University of Judaism","Los Angeles","CA","27","57651"
"1216","University of La Verne","La Verne","CA","1179","1948039.4299999999"
"1322","University of Redlands","Redlands","CA","618","1298301.6200000001"
"10395","University of San Diego","San Diego","CA","851","1711600"
"1325","University of San Francisco","San Francisco","CA","942","1922354"
"1328","University of Southern California","Los Angeles","CA","4253","8846898.0099999998"
"1329","University of the Pacific","Stockton","CA","1110","2511470.8399999999"
"9170","University of West Los Angeles","Inglewood","CA","20","25005"
"1293","Vanguard University of Southern California","Costa Mesa","CA","397","728795"
"30847","Ventura Adult Continuing Education","Ventura","CA","132","198564.04000000001"
"6863","Ventura County Community College District Office","Camarillo","CA","3293","6218755.0599999996"
"1335","Victor Valley Community College","Victorville","CA","2597","4409559.5599999996"
"14311","Vista Community College","Berkeley","CA","846","1251544.97"
"1176","West Hills Community College","Coalinga","CA","1414","2246831.3100000001"
"8596","West Los Angeles College","Culver City","CA","1167","2061795.5900000001"
"1338","West Valley College","Saratoga","CA","847","1557162"
"24827","Western University of Health Sciences","Pomona","CA","59","143356.5"
"1341","Westmont College","Santa Barbara","CA","217","451657.09999999998"
"1342","Whittier College","Whittier","CA","449","910606.14000000001"
"1343","Woodbury University","Burbank","CA","469","1033948.5"
"15975","Yeshiva Ohr Elchonon Chabad-West Coast Talmudical Seminary","Los Angeles","CA","32","88850"
"1344","Yuba College","Marysville","CA","3064","4698703.4100000001"
"1345","Adams State College","Alamosa","CO","928","1952522.01"
"7582","Aims Community College","Greeley","CO","840","1397755"
"1346","Arapahoe Community College","Littleton","CO","777","1160128.2"
"30131","Boulder College of Massage Therapy","Boulder","CO","60","75614"
"9401","Colorado Christian University","Lakewood","CO","515","844066.83999999997"
"1347","Colorado College","Colorado Springs","CO","312","619650"
"4506","Colorado Mountain College","Glenwood Springs","CO","390","630378.69999999995"
"1359","Colorado Northwestern Community College","Rangely","CO","193","373617"
"1348","Colorado School of Mines","Golden","CO","434","828855.06999999995"
"1350","Colorado State University","Fort Collins","CO","3678","6712758.4400000004"
"16058","Community College of Aurora Centretech Campus","Aurora","CO","714","1103581"
"9542","Community College of Denver","Denver","CO","1971","3259667"
"14050","Delta-Montrose Area Vocational Technical Center","Delta","CO","147","262673"
"5596","Emily Griffith Opportunity School","Denver","CO","168","186369"
"1353","FORT LEWIS COLLEGE","Durango","CO","1119","2140394.5499999998"
"7933","Front Range Community College-Westminster Campus","Westminster","CO","2146","3302868.7599999998"
"1355","Lamar Community College","Lamar","CO","359","724527"
"1358","Mesa State College","Grand Junction","CO","1736","3234139.5800000001"
"33063","Montessori Education Center of the Rockies","Boulder","CO","1","1562"
"9981","Morgan Community College","Fort Morgan","CO","430","720839"
"14652","Naropa University","Boulder","CO","138","273812.13"
"13007","Nazarene Bible College","Colorado Springs","CO","261","418970"
"1361","Northeastern Junior College","Sterling","CO","467","857060"
"1362","Otero Junior College","La Junta","CO","627","1161623.0700000001"
"8896","Pikes Peak Community College","Colorado Springs","CO","2569","3886317"
"14829","Pueblo Community College","Pueblo","CO","1909","3354180"
